country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,tot_cases,tot_deaths
China,"81,518",+79,"3,305",+5,"76,052","2,161",528,57,2
USA,"163,788","+20,297","3,141",+558,"5,506","155,141","3,512",495,9
Italy,"101,739","+4,050","11,591",+812,"14,620","75,528","3,981","1,683",192
Spain,"87,956","+7,846","7,716",+913,"16,780","63,460","5,231","1,881",165
Germany,"66,885","+4,450",645,+104,"13,500","52,740","1,979",798,8
France,"44,550","+4,376","3,024",+418,"7,927","33,599","5,056",683,46
Iran,"41,495","+3,186","2,757",+117,"13,911","24,827","3,511",494,33
UK,"22,141","+2,619","1,408",+180,135,"20,598",163,326,21
Switzerland,"15,922","+1,093",359,+59,"1,823","13,740",301,"1,840",41
Belgium,"11,899","+1,063",513,+82,"1,527","9,859",927,"1,027",44
Netherlands,"11,750",+884,864,+93,250,"10,636","1,053",686,50
Turkey,"10,827","+1,610",168,+37,162,"10,497",568,128,2
S. Korea,"9,661",+78,158,+6,"5,228","4,275",59,188,3
Austria,"9,618",+830,108,+22,636,"8,874",193,"1,068",12
Canada,"7,448","+1,128",89,+24,"1,093","6,266",120,197,2
Portugal,"6,408",+446,140,+21,43,"6,225",164,628,14
Israel,"4,695",+448,16,+1,161,"4,518",79,542,2
Brazil,"4,630",+374,163,+27,120,"4,347",296,22,0.8
Australia,"4,460",+297,19,+2,244,"4,197",28,175,0.7
Norway,"4,445",+161,32,+6,12,"4,401",97,820,6
Sweden,"4,028",+328,146,+36,16,"3,866",306,399,14
Czechia,"3,001",+184,23,+7,25,"2,953",52,280,2
Ireland,"2,910",+295,54,+8,5,"2,851",84,589,11
Malaysia,"2,626",+156,37,+2,479,"2,110",94,81,1
Denmark,"2,577",+182,77,+5,1,"2,499",137,445,13
Chile,"2,449",+310,8,+1,156,"2,285",14,128,0.4
Romania,"2,109",+294,65,+22,209,"1,835",33,110,3
Poland,"2,055",+193,31,+9,7,"2,017",3,54,0.8
Luxembourg,"1,988",+38,22,+1,40,"1,926",25,"3,176",35
Ecuador,"1,966",+42,62,+4,3,"1,901",58,111,4
Japan,"1,953",+87,56,+2,424,"1,473",56,15,0.4
Russia,"1,836",+302,9,+1,66,"1,761",8,13,0.06
Pakistan,"1,717",+120,21,+7,76,"1,620",11,8,0.10
Philippines,"1,546",+128,78,+7,42,"1,426",1,14,0.7
Thailand,"1,524",+136,9,+2,229,"1,286",11,22,0.1
Saudi Arabia,"1,453",+154,8,,115,"1,330",12,42,0.2
Indonesia,"1,414",+129,122,+8,75,"1,217",,5,0.4
Finland,"1,352",+112,13,+2,10,"1,329",49,244,2
South Africa,"1,326",+46,3,+1,31,"1,292",7,22,0.05
India,"1,251",+227,32,+5,102,"1,117",,0.9,0.02
Greece,"1,212",+56,46,+7,52,"1,114",72,116,4
Iceland,"1,086",+66,2,,157,927,25,"3,182",6
Panama,"1,075",+86,27,+3,9,"1,039",43,249,6
Mexico,993,+145,20,+4,35,938,1,8,0.2
Peru,950,+98,24,+6,53,873,49,29,0.7
Dominican Republic,901,+42,42,+3,4,855,,83,4
Singapore,879,+35,3,,228,648,19,150,0.5
Argentina,820,,23,+3,228,569,,18,0.5
Colombia,798,+96,14,+4,15,769,29,16,0.3
Croatia,790,+77,6,,67,717,27,192,1
Serbia,785,+44,16,+3,42,727,62,90,2
Slovenia,756,+26,11,,10,735,28,364,5
Estonia,715,+36,3,,20,692,10,539,2
Diamond Princess,712,,10,,603,99,15,,
Qatar,693,+59,1,,51,641,6,241,0.3
