#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
200,Macao,46,,,,46,,0,,70,,"4,238","6,494","652,612",Asia,"14,187",,154
201,Fiji,35,,2,,32,,1,,39,2,"14,152","15,744","898,867",Australia/Oceania,"25,682","449,434",64
202,Grenada,32,,,,27,,5,,284,,"6,252","55,466","112,718",North America,"3,522",,18
203,New Caledonia,30,,,,28,,2,,105,,"16,397","57,228","286,519",Australia/Oceania,"9,551",,17
204,Timor-Leste,30,,,,30,,0,,23,,"12,487","9,405","1,327,684",Asia,"44,256",,106
205,Vatican City,27,,,,15,,12,,"33,666",,,,802,Europe,30,,
206,Laos,24,,,,23,,1,,3,,"71,020","9,709","7,314,608",Asia,"304,775",,103
207,Saint Kitts and Nevis,19,,,,19,,0,,356,,"3,369","63,162","53,339",North America,"2,807",,16
208,Greenland,18,,,,17,,1,,317,,"12,026","211,699","56,807",North America,"3,156",,5
209,Saint Pierre Miquelon,16,,,,12,,4,,"2,767",,"2,624","453,744","5,783",North America,361,,2
210,Solomon Islands,16,,,,5,,11,,23,,115,166,"693,041",Australia/Oceania,"43,315",,"6,026"
211,Falkland Islands,15,,,,13,,2,,"4,265",,"3,417","971,567","3,517",South America,234,,1
212,Montserrat,13,,1,,12,,0,,"2,604",200,577,"115,562","4,993",North America,384,"4,993",9
213,Western Sahara,10,,1,,8,,1,,17,2,,,"602,707",Africa,"60,271","602,707",
214,MS Zaandam,9,,2,,,,7,,,,,,,,,,
215,Anguilla,3,,,,3,,0,,199,,"1,820","120,906","15,053",North America,"5,018",,8
216,Marshall Islands,1,,,,1,,0,,17,,,,"59,339",Australia/Oceania,"59,339",,
217,Vanuatu,1,,,,,,1,,3,,,,"309,772",Australia/Oceania,"309,772",,
218,Wallis and Futuna,1,,,,1,,0,,90,,"1,149","102,920","11,164",Australia/Oceania,"11,164",,10
219,China,"86,338",+13,"4,634",,"81,319",+16,385,3,60,3,"160,000,000","111,163","1,439,323,776",Asia,"16,671","310,601",9
