country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
China,"80,761",+7,"3,136",,"60,120","17,505","4,794",56.1
Italy,"10,149",+977,631,+168,"1,004","8,514",877,167.9
Iran,"8,042",+881,291,+54,"2,731","5,020",,95.7
S. Korea,"7,513",+35,58,+5,247,"7,208",54,146.5
France,"1,784",+372,33,+3,12,"1,739",86,27.3
Spain,"1,695",+464,36,+6,135,"1,524",101,36.3
Germany,"1,565",+341,2,,18,"1,545",9,18.7
USA,975,+271,30,+4,15,930,8,2.9
Diamond Princess,696,,7,,245,444,32,
Japan,587,+57,10,+1,102,475,31,4.6
Switzerland,497,+123,3,+1,3,491,,57.4
Norway,400,+173,,,1,399,,73.8
UK,383,+62,6,+1,18,359,,5.6
Netherlands,382,+61,4,,,378,1,22.3
Sweden,355,+95,,,1,354,2,35.2
Belgium,267,+28,,,1,266,2,23.0
Denmark,262,+172,,,1,261,,45.2
Austria,182,+51,,,4,178,1,20.2
Singapore,166,+6,,,93,73,10,28.4
Malaysia,129,+12,,,87,42,2,4.0
Hong Kong,121,+5,3,,59,59,6,16.1
Australia,116,+23,3,,22,91,1,4.5
Bahrain,110,+1,,,30,80,1,64.6
Canada,94,+17,1,,8,85,1,2.5
Greece,89,+5,,,,89,1,8.5
Iceland,81,+16,,,1,80,,
Israel,75,+25,,,4,71,1,8.7
UAE,74,+15,,,12,62,2,7.5
Iraq,71,,7,,15,49,,1.8
Kuwait,69,+4,,,1,68,3,16.2
Czechia,63,+25,,,,63,,5.9
San Marino,62,+11,2,,,60,5,
India,62,+15,,,4,58,,
Egypt,59,,1,,1,57,,0.6
Thailand,53,+3,1,,33,19,1,0.8
Lebanon,52,+11,1,+1,1,50,3,7.6
Taiwan,47,+2,1,,17,29,,2.0
Portugal,41,+2,,,,41,1,4.0
Finland,40,+7,,,1,39,,7.2
Brazil,34,+9,,,,34,1,0.2
Ireland,34,+10,,,,34,,6.9
Vietnam,34,+3,,,16,18,,0.3
Slovenia,34,+9,,,,34,,16.4
Philippines,33,+9,1,,2,30,1,0.3
Romania,29,+12,,,5,24,,1.5
Palestine,29,+4,,,,29,,5.7
Indonesia,27,+8,,,2,25,,0.1
Qatar,24,+6,,,,24,,8.3
Georgia,23,+8,,,,23,1,5.8
Poland,22,+5,,,,22,2,0.6
Algeria,20,,,,,20,,0.5
Russia,20,,,,3,17,,0.1
Saudi Arabia,20,,,,1,19,,0.6
Argentina,19,+2,1,,,18,1,0.4
Pakistan,19,+3,,,2,17,,0.1
Oman,18,,,,9,9,,3.5
Chile,17,+4,,,,17,,0.9
Croatia,15,+2,,,,15,,3.7
Ecuador,15,,,,,15,1,0.9
Estonia,13,+3,,,,13,,9.8
Costa Rica,13,+4,,,,13,1,2.6
Hungary,12,+3,,,,12,,1.2
Azerbaijan,11,+2,,,,11,,1.1
Peru,11,+2,,,,11,,0.3
Macao,10,,,,10,0,,
Albania,10,+4,,,,10,,3.5
Belarus,9,+3,,,3,6,,1.0
Latvia,8,+2,,,1,7,,4.2
Luxembourg,7,+2,,,,7,,
North Macedonia,7,+2,,,,7,,3.4
Mexico,7,,,,4,3,1,0.1
Slovakia,7,,,,,7,,1.3
South Africa,7,,,,,7,,0.1
Tunisia,6,+1,,,,6,,0.5
Brunei,6,+5,,,,6,,
Bulgaria,6,+2,,,,6,,0.9
Maldives,6,,,,,6,,
Afghanistan,5,+1,,,,5,,0.1
Dominican Republic,5,,,,,5,,0.5
New Zealand,5,,,,,5,,1.0
Bosnia and Herzegovina,5,,,,,5,,1.5
French Guiana,5,,,,,5,,
Malta,5,+1,,,,5,,
Serbia,5,+3,,,,5,,0.6
Senegal,4,,,,1,3,,0.2
Morocco,3,+1,1,+1,,2,1,0.1
Cambodia,3,+1,,,1,2,,0.2
Lithuania,3,+2,,,,3,,1.1
Bangladesh,3,,,,,3,,
Colombia,3,,,,,3,,0.1
Martinique,3,+1,,,,3,,
Moldova,3,+2,,,,3,,0.7
Nigeria,2,,,,,2,,
Burkina Faso,2,+1,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
Channel Islands,2,+1,,,,2,,
Cyprus,2,,,,,2,,1.7
Faeroe Islands,2,,,,,2,,
Paraguay,2,+1,,,,2,,0.3
Saint Martin,2,,,,,2,,
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,0.3
Jordan,1,,,,,1,,0.1
Monaco,1,,,,,1,,
Nepal,1,,,,1,0,,
Sri Lanka,1,,,,1,0,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
DRC,1,+1,,,,1,,
Gibraltar,1,,,,1,0,,
Vatican City,1,,,,,1,,
Jamaica,1,+1,,,,1,,0.3
Liechtenstein,1,,,,,1,,
Mongolia,1,+1,,,,1,,0.3
Panama,1,+1,,,,1,,0.2
St. Barth,1,,,,,1,,
Togo,1,,,,,1,,0.1
Turkey,1,+1,,,,1,,
